<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BBC,20100629,29-06-10,23.0231,23.0231,22.5533,22.5561,6570
BBC,20100628,28-06-10,22.3967,22.5533,22.3967,22.5561,9080
BBC,20100625,25-06-10,22.475,22.7099,22.3184,22.7127,13730
BBC,20100624,24-06-10,22.3184,23.3364,22.3184,22.7127,31110
BBC,20100623,23-06-10,22.6316,22.7099,22.475,22.7127,6490
BBC,20100622,22-06-10,22.475,22.8665,22.475,22.5561,16380
BBC,20100621,21-06-10,22.7882,23.1015,22.7099,22.7911,11910
BBC,20100618,18-06-10,23.4147,23.4147,22.7099,22.7127,10510
BBC,20100617,17-06-10,23.493,23.493,22.9448,23.026,39300
BBC,20100616,16-06-10,23.6496,23.6496,23.2581,23.6526,11860
BBC,20100615,15-06-10,23.493,23.8062,23.2581,23.5743,40210
BBC,20100614,14-06-10,22.6316,23.2581,22.3184,23.261,79690
BBC,20100611,11-06-10,23.0231,23.0231,22.0834,22.1645,65060
BBC,20100610,10-06-10,22.7099,23.0231,21.9268,22.0079,15340
BBC,20100609,09-06-10,23.3364,23.3364,22.475,22.5561,11400
BBC,20100608,08-06-10,22.7099,22.7099,22.5533,22.7127,5950
BBC,20100607,07-06-10,23.1015,23.1015,22.0834,22.7127,15300
BBC,20100604,04-06-10,23.4147,23.4147,22.9448,23.1043,9390
BBC,20100603,03-06-10,23.0231,23.1015,22.7099,23.1043,64000
BBC,20100602,02-06-10,23.1015,23.1015,23.0231,23.026,1550
BBC,20100601,01-06-10,23.1015,23.1015,22.7099,23.026,62580
BBC,20100531,31-05-10,22.1617,23.1015,22.1617,22.4778,27030
BBC,20100528,28-05-10,22.0834,23.0231,22.0834,22.7127,29590
BBC,20100527,27-05-10,22.0834,22.3184,21.9268,22.0862,19890
BBC,20100526,26-05-10,22.3184,22.3184,22.0834,22.0862,56660
BBC,20100525,25-05-10,22.0834,22.6316,22.0834,22.1645,60010
BBC,20100524,24-05-10,22.0051,22.0834,21.222,22.0862,8620
BBC,20100521,21-05-10,21.7702,21.7702,21.0654,21.068,131100
BBC,20100520,20-05-10,21.9268,22.24,21.5353,22.1645,68590
BBC,20100519,19-05-10,23.1015,23.1015,22.24,22.2428,38480
BBC,20100518,18-05-10,23.8062,23.8062,23.2581,23.3393,3650
BBC,20100517,17-05-10,23.493,23.8846,23.3364,23.3393,5850
BBC,20100514,14-05-10,24.2761,24.511,23.8846,23.8875,37700
BBC,20100513,13-05-10,23.8846,23.9629,23.6496,23.6526,27650
BBC,20100512,12-05-10,25.0592,25.0592,23.8846,23.8875,15630
BBC,20100511,11-05-10,24.8243,25.4508,24.511,24.5924,25440
BBC,20100510,10-05-10,25.0592,25.0592,24.2761,24.3575,25130
BBC,20100507,07-05-10,25.4508,25.4508,24.746,25.0623,42530
BBC,20100506,06-05-10,25.3724,26.1555,25.3724,25.8455,39840
BBC,20100505,05-05-10,26.2339,26.2339,25.5291,25.8455,129980
BBC,20100504,04-05-10,26.3122,26.3122,25.8423,26.2371,95570
BBC,20100429,29-04-10,25.4508,25.9206,25.1375,25.8455,180500
BBC,20100428,28-04-10,24.6677,25.6074,24.6677,25.0623,118120
BBC,20100427,27-04-10,25.4508,25.4508,24.9026,25.1407,69290
BBC,20100426,26-04-10,25.8423,25.8423,25.2941,25.2973,31690
BBC,20100422,22-04-10,25.6857,25.8423,25.4508,25.4539,63050
BBC,20100421,21-04-10,25.1375,26.0772,25.1375,25.4539,50950
BBC,20100420,20-04-10,25.2941,25.3724,24.9809,25.0623,70750
BBC,20100419,19-04-10,25.5291,25.5291,25.0592,25.0623,22840
BBC,20100416,16-04-10,25.8423,25.8423,25.4508,25.5323,56110
BBC,20100415,15-04-10,25.5291,25.6857,25.4508,25.6106,124970
BBC,20100414,14-04-10,24.674,24.8258,24.5981,24.8269,86690
BBC,20100413,13-04-10,24.3703,24.9777,24.3703,24.5232,72840
BBC,20100412,12-04-10,24.674,24.674,24.3703,24.3714,68820
BBC,20100409,09-04-10,24.5981,24.7499,24.5981,24.675,77820
BBC,20100408,08-04-10,24.674,24.9018,24.674,24.675,38840
BBC,20100407,07-04-10,24.5222,24.9777,24.3703,24.9787,74550
BBC,20100406,06-04-10,24.5981,24.9777,24.2944,24.5232,123340
BBC,20100405,05-04-10,25.0536,25.0536,24.5222,24.5232,62430
BBC,20100402,02-04-10,24.5222,25.0536,24.2944,24.2954,52690
BBC,20100401,01-04-10,24.674,24.674,23.9148,24.2954,35580
BBC,20100331,31-03-10,24.2944,24.2944,23.6111,23.6121,117240
BBC,20100330,30-03-10,24.9018,24.9777,24.2944,24.2954,126410
BBC,20100329,29-03-10,24.8258,25.0536,24.8258,24.9028,478640
BBC,20100326,26-03-10,26.1165,26.4202,25.661,26.1176,70170
BBC,20100325,25-03-10,26.2683,26.7998,25.661,25.6621,326840
BBC,20100324,24-03-10,26.572,26.7998,26.2683,26.8009,136350
BBC,20100323,23-03-10,26.1924,26.4202,25.9646,26.2694,215260
BBC,20100322,22-03-10,25.7369,25.8128,25.661,25.8139,83430
BBC,20100319,19-03-10,25.7369,25.8887,25.5091,25.738,131640
BBC,20100318,18-03-10,25.4332,25.661,25.2814,25.5102,49510
BBC,20100317,17-03-10,25.5091,25.8128,25.4332,25.4343,88440
BBC,20100316,16-03-10,25.8128,26.1924,25.5091,25.5861,152340
BBC,20100315,15-03-10,27.0275,27.0275,26.2683,26.2694,60440
BBC,20100312,12-03-10,25.8128,26.3442,25.8128,26.1935,89210
BBC,20100311,11-03-10,25.8128,26.1165,25.7369,25.8139,146740
BBC,20100310,10-03-10,25.7369,26.0406,25.585,25.8139,168270
BBC,20100309,09-03-10,25.661,26.1165,25.3573,25.8139,154760
BBC,20100308,08-03-10,25.9646,25.9646,25.5091,25.5861,124840
BBC,20100305,05-03-10,25.0536,25.4332,24.4462,25.0547,93620
