<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>,<Trend>
AAV,20181001,01-10-18,11.5825,11.6607,10.3303,10.8004,285200,0
AAV,20180928,28-09-18,10.8781,11.739,10.3303,11.4265,323220,1
AAV,20180927,27-09-18,11.5042,11.8173,10.9564,11.1918,85660,0
AAV,20180926,26-09-18,10.6434,11.6607,10.6434,11.5048,304590,1
AAV,20180925,25-09-18,9.8608,10.6434,9.3912,10.6439,433800,1
AAV,20180924,24-09-18,10.0173,10.0955,9.626,9.7047,38700,0
AAV,20180921,21-09-18,9.8608,10.0955,9.626,10.0178,56000,1
AAV,20180920,20-09-18,9.3912,10.0955,9.3912,9.8613,57700,1
AAV,20180919,19-09-18,9.8608,10.0955,9.3129,9.6265,101210,0
AAV,20180918,18-09-18,10.7999,10.7999,9.8608,10.0961,222800,0
AAV,20180917,17-09-18,11.1129,11.1129,10.0955,10.957,642230,0
AAV,20180914,14-09-18,11.739,11.739,10.8781,11.1918,499660,0
AAV,20180913,13-09-18,12.5216,12.5999,11.3477,12.0527,170400,0
AAV,20180912,12-09-18,11.6607,12.5999,10.4086,12.6005,341900,1
AAV,20180911,11-09-18,12.4433,12.4433,10.5651,11.5048,114100,0
AAV,20180910,10-09-18,12.5216,12.5216,11.739,11.7396,534100,0
AAV,20180907,07-09-18,15.5737,15.5737,12.9912,12.9918,109400,0
AAV,20180906,06-09-18,13.852,14.3998,13.4607,14.4006,428100,1
AAV,20180905,05-09-18,11.9738,13.1477,11.9738,13.1484,409000,1
AAV,20180904,04-09-18,11.739,12.4433,11.426,11.9744,544400,0
AAV,20180831,31-08-18,13.3042,13.6955,12.6781,12.6788,88300,0
AAV,20180830,30-08-18,15.2607,15.2607,14.0085,14.0093,167600,0
AAV,20180829,29-08-18,16.4346,16.4346,14.7911,15.4963,160300,0
AAV,20180828,28-08-18,16.8259,16.8259,15.1824,16.4354,147800,0
AAV,20180827,27-08-18,16.9824,17.0607,15.339,16.8268,274000,0
AAV,20180824,24-08-18,15.8868,16.9824,14.3216,16.9833,343600,1
AAV,20180823,23-08-18,15.8085,16.4346,15.8085,15.8876,386700,0
AAV,20180822,22-08-18,19.4085,19.4085,17.5302,17.5311,69200,0
AAV,20180821,21-08-18,21.5215,21.5215,19.4085,19.4095,318700,0
AAV,20180820,20-08-18,23.6345,23.6345,21.2867,21.5226,354600,0
AAV,20180817,17-08-18,24.4171,25.0432,21.9911,23.6357,577000,0
AAV,20180816,16-08-18,25.8258,26.6867,22.7737,24.4184,777300,0
AAV,20180815,15-08-18,23.0084,25.278,20.8954,25.2793,658500,1
AAV,20180814,14-08-18,23.3997,23.8693,20.7389,23.0096,397900,0
AAV,20180813,13-08-18,22.6954,23.0084,22.6954,23.0096,161900,1
AAV,20180810,10-08-18,20.6606,20.9737,20.6606,20.9748,216700,1
AAV,20180809,09-08-18,17.2955,19.0954,16.9042,19.0964,443400,1
AAV,20180808,08-08-18,17.6868,17.8433,17.2172,17.3746,98900,0
AAV,20180807,07-08-18,17.452,17.765,16.8259,17.6877,118000,1
AAV,20180806,06-08-18,16.8259,17.6868,16.1998,17.5311,176800,1
AAV,20180803,03-08-18,16.4346,17.2172,16.2781,17.1398,150400,1
AAV,20180802,02-08-18,16.5129,16.8259,15.965,16.3572,140600,0
AAV,20180801,01-08-18,16.9824,17.1389,16.4346,16.4354,62700,0
AAV,20180731,31-07-18,16.7476,16.9042,17.0607,16.6702,50300,0
AAV,20180730,30-07-18,16.8259,16.9042,16.6694,16.6702,42100,0
AAV,20180727,27-07-18,16.4346,16.9042,16.4346,16.7485,67100,1
AAV,20180726,26-07-18,16.3563,16.5911,16.1216,16.5137,64000,1
AAV,20180725,25-07-18,16.8259,16.9042,16.4346,16.4354,68600,0
AAV,20180724,24-07-18,17.6085,17.6085,16.7476,16.7485,58400,0
AAV,20180723,23-07-18,17.452,17.6868,17.2172,17.5311,61600,1
AAV,20180720,20-07-18,17.765,17.765,17.2172,17.3746,62800,0
AAV,20180719,19-07-18,17.765,17.8433,17.5302,17.7659,64300,1
AAV,20180718,18-07-18,17.2955,17.6868,16.9042,17.6877,79800,1
AAV,20180717,17-07-18,17.2955,17.3737,16.8259,17.2963,103000,1
AAV,20180716,16-07-18,15.652,17.2172,15.652,17.2181,479500,1
AAV,20180713,13-07-18,14.2433,15.652,14.2433,15.6528,482500,1
AAV,20180712,12-07-18,12.9912,14.2433,12.9129,14.244,518100,1
AAV,20180711,11-07-18,12.9912,13.0694,12.7564,12.9918,82500,0
AAV,20180710,10-07-18,13.0694,13.1477,12.9129,12.9918,151100,0
AAV,20180709,09-07-18,13.0694,13.2259,12.9129,13.0701,248300,0
AAV,20180706,06-07-18,12.9129,13.1477,12.8346,13.0701,232100,1
AAV,20180705,05-07-18,12.9129,13.0694,12.8346,12.9136,144700,0
AAV,20180704,04-07-18,12.9912,13.0694,12.9129,12.9136,80500,0
AAV,20180703,03-07-18,12.9912,13.1477,12.9129,12.9918,98800,0
AAV,20180702,02-07-18,13.0694,13.1477,12.5999,13.0701,129000,0
AAV,20180629,29-06-18,12.9912,13.1477,12.9129,13.0701,108100,1
AAV,20180628,28-06-18,12.9129,13.1477,12.9129,12.9918,210300,1
AAV,20180627,27-06-18,14.8694,14.8694,12.9129,12.9136,532700,0
AAV,20180626,26-06-18,13.539,13.539,12.5216,13.5397,800200,1
AAV,20180625,25-06-18,12.3651,12.3651,12.3651,12.3657,362000,
