<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BHN,20190710,10-07-19,82.737,83.6563,82.737,83.6563,110
BHN,20190709,09-07-19,80.8984,84.5756,79.1517,84.5756,140
BHN,20190708,08-07-19,84.5756,84.5756,84.5756,84.5756,30
BHN,20190705,05-07-19,85.403,85.403,84.5756,84.5756,110
BHN,20190704,04-07-19,85.403,85.403,85.403,85.403,100
BHN,20190702,02-07-19,85.403,85.4949,83.6563,85.403,450
BHN,20190701,01-07-19,85.4949,85.4949,81.3581,85.4949,250
BHN,20190628,28-06-19,87.3335,87.3335,81.5419,87.3335,110
BHN,20190627,27-06-19,81.625,81.8088,77.029,81.6338,160
BHN,20190626,26-06-19,82.4612,82.4612,81.8177,81.8177,1050
BHN,20190625,25-06-19,82.737,82.737,82.737,82.737,20
BHN,20190624,24-06-19,85.3018,86.4048,85.2098,85.2191,1090
BHN,20190621,21-06-19,86.4142,86.4142,86.4142,86.4142,30
BHN,20190620,20-06-19,85.6788,87.3335,84.5756,84.5756,1430
BHN,20190619,19-06-19,85.6788,85.6788,85.6788,85.6788,90
BHN,20190618,18-06-19,90.0914,90.0914,89.1721,90.0914,2070
BHN,20190617,17-06-19,91.7362,91.7362,91.7362,91.7461,10
BHN,20190614,14-06-19,86.4142,92.7574,86.4142,91.93,1050
BHN,20190612,12-06-19,92.8493,92.8493,92.7574,92.8493,9790
BHN,20190611,11-06-19,93.7584,93.7584,93.5746,93.5847,530
BHN,20190610,10-06-19,89.6318,90.0914,89.6318,90.0914,600
BHN,20190607,07-06-19,89.1721,89.1721,89.1721,89.1721,200
BHN,20190606,06-06-19,91.1026,94.6879,91.1026,94.6879,5110
BHN,20190605,05-06-19,94.4938,94.4938,91.0927,91.1026,7500
BHN,20190604,04-06-19,84.6583,94.6776,84.6583,94.504,28310
BHN,20190603,03-06-19,90.0914,91.0107,90.0914,91.0107,8790
BHN,20190531,31-05-19,91.1026,91.1026,90.0914,90.0914,9680
BHN,20190530,30-05-19,90.9188,91.0107,90.0914,91.0107,2050
BHN,20190529,29-05-19,97.8135,97.8135,91.0107,91.0107,5090
BHN,20190528,28-05-19,94.6776,100.6524,94.6776,97.8135,600
BHN,20190527,27-05-19,96.5265,96.5265,91.0107,95.2395,1840
BHN,20190524,24-05-19,93.217,100.1118,93.217,96.5265,2810
BHN,20190523,23-05-19,101.0311,101.0311,98.3651,100.2037,620
BHN,20190522,22-05-19,99.3655,103.0423,98.814,99.3763,4190
BHN,20190521,21-05-19,93.7584,96.3322,93.5746,96.3426,9540
BHN,20190520,20-05-19,85.6788,90.0914,85.6788,90.0914,6530
BHN,20190517,17-05-19,85.4949,90.9188,85.4949,85.6788,7760
BHN,20190516,16-05-19,84.5756,85.1272,81.9096,85.1272,3250
BHN,20190515,15-05-19,79.0598,81.8177,79.0598,81.8177,3000
BHN,20190514,14-05-19,77.2212,78.1405,77.2212,78.1405,650
BHN,20190513,13-05-19,77.8647,79.0598,77.2212,78.1405,1740
BHN,20190510,10-05-19,77.2128,79.0512,77.2128,77.8647,1870
BHN,20190509,09-05-19,73.544,77.2212,73.544,77.2212,2500
BHN,20190508,08-05-19,76.3019,77.2212,75.2907,77.2212,4330
BHN,20190507,07-05-19,75.3826,77.2212,75.3826,77.2212,900
BHN,20190506,06-05-19,75.3826,76.3019,75.0149,76.3019,630
BHN,20190503,03-05-19,76.21,76.21,75.3826,75.3826,30
BHN,20190502,02-05-19,75.4745,77.1293,75.3826,75.3826,40
BHN,20190426,26-04-19,73.544,75.3826,73.544,75.3826,920
BHN,20190425,25-04-19,75.3826,75.3826,75.3826,75.3826,170
BHN,20190424,24-04-19,74.923,75.3826,74.923,75.3826,410
BHN,20190423,23-04-19,74.923,74.923,74.923,74.923,710
BHN,20190422,22-04-19,75.0986,75.3744,73.6279,73.6359,5310
BHN,20190418,18-04-19,75.2907,75.3826,75.2907,75.2907,2150
BHN,20190417,17-04-19,74.0037,75.5665,74.0037,75.2907,590
BHN,20190412,12-04-19,75.7421,75.7421,75.7421,75.7503,10
BHN,20190411,11-04-19,75.3826,75.3826,74.923,74.923,290
BHN,20190410,10-04-19,74.923,75.5665,74.923,75.5665,830
BHN,20190409,09-04-19,75.3826,75.3826,75.2907,75.3826,1200
BHN,20190408,08-04-19,75.7421,75.7421,75.7421,75.7503,100
BHN,20190405,05-04-19,75.3826,75.3826,75.3826,75.3826,1470
BHN,20190404,04-04-19,74.0037,75.8423,74.0037,74.4633,1510
BHN,20190403,03-04-19,75.3826,76.0261,75.3826,75.3826,1340
BHN,20190402,02-04-19,75.3826,76.21,75.3826,76.21,600
BHN,20190401,01-04-19,75.4745,76.4858,75.3826,75.8423,410
BHN,20190329,29-03-19,75.3826,75.3826,75.3826,75.3826,70
BHN,20190328,28-03-19,74.7391,76.7616,74.7391,76.5777,590
