<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20130829,29-08-13,11.6809,11.9277,11.6809,11.6839,139290
FPT,20130828,28-08-13,12.01,12.0648,11.5712,11.7387,433180
FPT,20130827,27-08-13,12.3116,12.3116,12.1196,12.1776,122680
FPT,20130826,26-08-13,12.2293,12.2842,12.0648,12.2324,199040
FPT,20130823,23-08-13,12.4761,12.5035,12.2019,12.2599,440450
FPT,20130822,22-08-13,12.7229,12.7229,12.3664,12.4518,373950
FPT,20130821,21-08-13,12.8326,12.8326,12.339,12.7261,472880
FPT,20130820,20-08-13,12.8874,12.9148,12.7229,12.8358,448010
FPT,20130819,19-08-13,12.6132,13.0519,12.5858,12.9181,538180
FPT,20130816,16-08-13,12.5309,12.6132,12.3938,12.6164,320220
FPT,20130815,15-08-13,12.4213,12.668,12.3116,12.5616,805360
FPT,20130814,14-08-13,12.0666,12.1196,12.0136,12.123,198010
FPT,20130813,13-08-13,12.0401,12.1727,11.987,12.07,426440
FPT,20130812,12-08-13,12.1462,12.1462,11.987,12.07,184200
FPT,20130809,09-08-13,11.987,12.0931,11.9605,12.0965,204960
FPT,20130808,08-08-13,12.2788,12.2788,11.987,11.9904,363680
FPT,20130807,07-08-13,12.0666,12.3848,12.0136,12.2822,826400
FPT,20130806,06-08-13,11.8014,12.0136,11.8014,11.9904,475480
FPT,20130805,05-08-13,11.4832,12.0401,11.4832,11.8047,564080
FPT,20130802,02-08-13,11.4832,11.5097,11.4301,11.4598,77930
FPT,20130801,01-08-13,11.4036,11.4301,11.3771,11.3802,77340
FPT,20130731,31-07-13,11.4832,11.4832,11.324,11.4068,83540
FPT,20130730,30-07-13,11.1649,11.4036,11.1384,11.4068,90410
FPT,20130729,29-07-13,11.3771,11.3771,11.1384,11.1945,179400
FPT,20130726,26-07-13,11.5627,11.5627,11.3506,11.3802,58250
FPT,20130725,25-07-13,11.5097,11.5892,11.4036,11.5129,107830
FPT,20130724,24-07-13,11.4566,11.5097,11.4036,11.4068,239630
FPT,20130723,23-07-13,11.6423,11.6423,11.5362,11.5659,95720
FPT,20130722,22-07-13,11.7484,11.7484,11.5362,11.6455,66820
FPT,20130719,19-07-13,11.5892,11.6423,11.4832,11.6455,113860
FPT,20130718,18-07-13,11.5892,11.6688,11.4832,11.4863,65160
FPT,20130717,17-07-13,11.6688,11.6688,11.5892,11.5925,145010
FPT,20130716,16-07-13,11.4832,11.6423,11.4301,11.5659,107880
FPT,20130715,15-07-13,11.4832,11.4832,11.324,11.4333,75830
FPT,20130712,12-07-13,11.218,11.4036,11.218,11.4068,102160
FPT,20130711,11-07-13,11.2975,11.2975,11.1914,11.2476,108660
FPT,20130710,10-07-13,11.2975,11.324,11.218,11.2741,42560
FPT,20130709,09-07-13,11.4036,11.4036,11.1914,11.3007,88920
FPT,20130708,08-07-13,11.5892,11.5892,11.4036,11.4068,112140
