<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BID,20180110,10-01-18,26.4903,27.3121,26.3936,26.5387,2817750
BID,20180109,09-01-18,26.9226,27.0193,25.1342,26.4903,4214750
BID,20180108,08-01-18,26.7804,27.2638,26.4903,26.9254,2053870
BID,20180105,05-01-18,26.5843,26.6326,26.0526,26.4903,1908830
BID,20180104,04-01-18,25.9076,26.7776,25.6659,26.6353,4424190
BID,20180103,03-01-18,26.1009,26.1492,25.6176,25.9102,2458110
BID,20171229,29-12-17,24.2183,24.6534,23.9283,24.6534,2593290
BID,20171228,28-12-17,23.5899,24.2667,23.5899,23.9283,1382650
BID,20171227,27-12-17,23.4425,23.8292,23.2491,23.5899,1201510
BID,20171226,26-12-17,23.0098,23.2999,22.7198,23.2999,1009560
BID,20171225,25-12-17,23.3941,23.4908,22.9108,23.0098,572480
BID,20171222,22-12-17,23.1065,23.3966,22.7198,23.0582,1931970
BID,20171221,21-12-17,23.6866,23.9766,23.3966,23.3966,1312160
BID,20171220,20-12-17,23.2999,23.88,23.2515,23.6866,873610
BID,20171219,19-12-17,23.5416,23.88,23.2999,23.2999,939300
BID,20171218,18-12-17,23.4932,23.6866,23.3966,23.5416,1023650
BID,20171215,15-12-17,23.3941,23.6358,23.0558,23.4932,642650
BID,20171214,14-12-17,23.0098,23.6866,22.4781,23.6383,1472190
BID,20171213,13-12-17,23.2975,23.3941,22.8625,23.1065,2017220
BID,20171212,12-12-17,23.2032,23.5899,21.608,23.2999,2619460
BID,20171211,11-12-17,23.1065,23.9766,23.1065,23.2032,1236890
BID,20171208,08-12-17,24.2183,24.3634,23.8316,24.17,853010
BID,20171207,07-12-17,24.17,24.315,23.7349,24.17,642950
BID,20171206,06-12-17,23.88,24.0733,23.6866,24.025,1856030
BID,20171205,05-12-17,24.8442,24.8442,24.0708,24.0733,2429510
BID,20171204,04-12-17,24.8468,25.3302,24.6534,24.6534,1010470
BID,20171201,01-12-17,24.7501,24.7984,24.5567,24.6534,1313000
BID,20171130,30-11-17,25.1342,25.4242,24.6509,24.7984,1539270
BID,20171129,29-11-17,24.0733,24.7501,24.0733,24.7501,1644260
BID,20171128,28-11-17,24.3634,24.5567,23.7349,24.17,1735860
BID,20171127,27-11-17,24.46,24.7017,24.2667,24.3634,1300640
BID,20171124,24-11-17,24.4575,24.6992,24.1675,24.46,1762130
BID,20171123,23-11-17,25.1342,25.6176,24.4575,24.46,2648530
BID,20171122,22-11-17,23.2515,24.8468,23.2032,24.8468,4041890
BID,20171121,21-11-17,23.2008,23.6842,23.2008,23.2515,2397310
BID,20171120,20-11-17,23.0098,23.3482,22.8648,23.2032,1424750
BID,20171117,17-11-17,23.3941,23.4908,22.7175,23.2515,2518270
BID,20171116,16-11-17,23.2491,23.5391,22.9108,23.3482,2383080
BID,20171115,15-11-17,23.3966,23.5899,23.2032,23.3966,1143070
BID,20171114,14-11-17,23.1525,23.5875,22.7175,23.4932,1976900
BID,20171113,13-11-17,22.8648,23.1549,22.8165,23.1549,1456000
BID,20171110,10-11-17,22.5264,23.3966,22.5264,22.8165,2655350
BID,20171109,09-11-17,23.0098,23.1065,22.6231,22.7198,2328420
BID,20171108,08-11-17,22.0891,23.0075,21.9441,23.0098,3162900
BID,20171107,07-11-17,21.9464,22.2847,21.8497,22.0914,2397470
BID,20171106,06-11-17,21.6563,22.0914,21.5113,22.0914,2248950
BID,20171103,03-11-17,21.0741,21.6541,20.7841,21.6563,2000100
BID,20171102,02-11-17,21.6541,21.7991,20.7841,21.1729,2240060
BID,20171101,01-11-17,21.1224,21.7024,21.1224,21.6563,2540230
BID,20171031,31-10-17,21.0762,21.4146,20.7862,21.1246,2860900
BID,20171030,30-10-17,20.4962,21.5596,20.4962,21.1246,5516030
BID,20171027,27-10-17,20.0128,20.4962,19.8677,20.4962,1525120
BID,20171026,26-10-17,20.2061,20.4962,19.626,20.0128,1949360
BID,20171025,25-10-17,20.0128,20.5928,20.0128,20.3028,1419710
BID,20171024,24-10-17,19.9644,20.2061,19.9161,20.0611,991780
BID,20171023,23-10-17,20.204,20.7357,20.1074,20.2061,2104280
BID,20171020,20-10-17,20.3974,20.7357,20.3974,20.6895,2795090
BID,20171019,19-10-17,20.4962,20.6412,20.1094,20.5445,2221120
BID,20171018,18-10-17,20.7841,20.9774,20.5907,20.6895,3877330
BID,20171017,17-10-17,19.7227,20.7862,19.7227,20.7862,5851150
BID,20171016,16-10-17,19.5294,19.7711,19.5294,19.6744,1723790
BID,20171013,13-10-17,19.4327,19.5777,19.3843,19.5294,720350
BID,20171012,12-10-17,19.624,19.769,19.479,19.481,1237240
BID,20171011,11-10-17,19.4307,19.769,19.3823,19.626,2054250
BID,20171010,10-10-17,19.336,19.5294,19.2877,19.336,786110
BID,20171009,09-10-17,19.5294,19.626,19.336,19.336,1931480
BID,20171006,06-10-17,19.191,19.5294,19.1426,19.2877,2512220
BID,20171005,05-10-17,19.5273,19.5757,19.189,19.2393,1259970
BID,20171004,04-10-17,19.2373,19.5273,19.189,19.3843,1798560
BID,20171003,03-10-17,19.1426,19.5294,19.046,19.191,2747020
BID,20171002,02-10-17,18.9493,19.336,18.9493,19.046,1316100
BID,20170929,29-09-17,18.9976,19.191,18.9493,18.9493,2047180
BID,20170928,28-09-17,19.5273,19.7207,18.9957,18.9976,2620840
BID,20170927,27-09-17,19.7227,19.8194,19.5294,19.5294,1270120
BID,20170926,26-09-17,19.7207,19.914,19.6723,19.7227,1400280
BID,20170925,25-09-17,19.914,19.9624,19.624,19.7227,1296670
BID,20170922,22-09-17,20.0128,20.2061,19.9161,19.9161,1539180
BID,20170921,21-09-17,19.7227,20.2061,19.6744,20.1578,3542580
BID,20170920,20-09-17,19.9644,19.9644,19.7227,19.8194,1165030
BID,20170919,19-09-17,19.914,20.1557,19.769,19.9644,1771760
BID,20170918,18-09-17,19.7227,20.0128,19.6744,19.8194,1867500
BID,20170915,15-09-17,19.9624,19.9624,19.6723,19.7227,761660
BID,20170914,14-09-17,19.6723,20.1557,19.624,19.9644,1630270
BID,20170913,13-09-17,19.9644,20.0128,19.6744,19.8194,865900
BID,20170912,12-09-17,19.4327,20.0128,19.3843,19.8194,1086660
BID,20170911,11-09-17,19.5294,19.9161,19.336,19.5294,1595410
BID,20170908,08-09-17,20.1578,20.1578,19.6744,19.6744,2150240
BID,20170907,07-09-17,19.8677,20.4962,19.8677,20.1578,2388710
BID,20170906,06-09-17,20.0128,20.2061,19.7711,19.9161,2638220
BID,20170905,05-09-17,20.3028,20.3028,19.9161,20.2545,1769650
BID,20170901,01-09-17,20.3974,20.8807,20.059,20.3511,3772890
BID,20170831,31-08-17,18.7559,20.0128,18.7076,20.0128,5421350
BID,20170830,30-08-17,19.046,19.046,18.7076,18.7076,1728800
