<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
CMG,20200416,16-04-20,27.85,28.75,27.7,28.75,47220
CMG,20200415,15-04-20,27.6,27.95,27.4,27.7,34680
CMG,20200414,14-04-20,27,27,26.15,26.9,53520
CMG,20200413,13-04-20,26.6,26.8,26.2,26.5,29560
CMG,20200410,10-04-20,26,26.8,26,26.5,21100
CMG,20200409,09-04-20,26,26.5,25.5,26.5,77110
CMG,20200408,08-04-20,26,26,25.1,25.75,28700
CMG,20200407,07-04-20,27,27,25,26.9,41190
CMG,20200406,06-04-20,25.4,25.6,25,25.5,38870
CMG,20200403,03-04-20,22.8,24,22.8,24,25960
CMG,20200401,01-04-20,22,23,22,22.8,13560
CMG,20200331,31-03-20,23,23.2,21.4,22.5,70880
CMG,20200330,30-03-20,21.9,23,21.6,23,110560
CMG,20200327,27-03-20,22.15,23.4,22.15,23.2,52650
CMG,20200326,26-03-20,22.7,24,21.7,23.2,37520
CMG,20200325,25-03-20,22.85,22.9,22.4,22.9,58500
CMG,20200324,24-03-20,21.9,21.9,21.3,21.5,38980
CMG,20200323,23-03-20,22.4,22.8,21.5,21.5,37370
CMG,20200320,20-03-20,23.2,24,23,23.1,8020
CMG,20200319,19-03-20,23,23.3,22.6,23.2,24750
CMG,20200318,18-03-20,24.8,24.8,23.2,23.2,71960
CMG,20200317,17-03-20,23.3,23.5,22.15,23.3,32020
CMG,20200316,16-03-20,23,25,23,23.75,65240
CMG,20200313,13-03-20,23.6,24.8,23.6,23.8,129850
CMG,20200312,12-03-20,27.25,27.25,25.35,25.35,59610
CMG,20200311,11-03-20,29.4,29.4,27.25,27.25,82700
CMG,20200310,10-03-20,27.8,30,27.8,29.3,18190
CMG,20200309,09-03-20,30,30,28.65,28.65,73590
CMG,20200306,06-03-20,30.9,31,30.5,30.8,10960
CMG,20200305,05-03-20,31,31.1,30.5,30.9,16730
CMG,20200304,04-03-20,30.4,31.3,30.4,31,7080
CMG,20200303,03-03-20,31,31.45,30.6,31.1,24210
CMG,20200302,02-03-20,30.4,30.8,30,30.4,19330
CMG,20200228,28-02-20,30,30.45,29.8,30.4,23530
CMG,20200227,27-02-20,30.9,30.9,30,30.7,11320
CMG,20200226,26-02-20,30.5,30.5,29.8,30,47810
CMG,20200225,25-02-20,30.7,31.3,30,30.7,19990
CMG,20200224,24-02-20,30.7,32.2,30.7,30.7,42840
CMG,20200221,21-02-20,32.5,33.4,32,33,14440
