<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
CMG,20180313,13-03-18,20.8512,22.1544,20.5037,21.9808,223090
CMG,20180312,12-03-18,21.1118,21.5462,20.0693,21.112,179450
CMG,20180309,09-03-18,21.7634,21.9372,21.5462,21.5464,79620
CMG,20180308,08-03-18,21.9372,21.9806,21.5897,21.6767,43990
CMG,20180307,07-03-18,22.2413,22.2413,21.5897,21.9373,72140
CMG,20180306,06-03-18,21.8503,22.5019,21.5462,21.9808,69690
CMG,20180305,05-03-18,21.72,22.5888,21.72,22.5021,78000
CMG,20180302,02-03-18,22.1544,22.1544,21.5897,21.6767,130600
CMG,20180301,01-03-18,22.1978,22.5019,22.111,22.1545,63350
CMG,20180228,28-02-18,22.1544,22.7626,22.1544,22.5889,66130
CMG,20180227,27-02-18,22.5888,22.5888,22.0675,22.5455,45360
CMG,20180226,26-02-18,22.8494,23.2838,21.72,22.5889,262360
CMG,20180223,23-02-18,23.2404,23.5445,22.8494,22.8496,75560
CMG,20180222,22-02-18,23.8051,23.8051,22.9798,23.2405,80410
CMG,20180221,21-02-18,24.3264,24.3264,23.197,23.8053,269000
CMG,20180213,13-02-18,23.9789,24.7608,23.8486,24.3266,66770
CMG,20180212,12-02-18,22.8494,24.2395,22.8494,23.8922,30270
CMG,20180209,09-02-18,22.415,23.3707,22.2413,22.7627,90580
CMG,20180208,08-02-18,24.6739,24.6739,22.9798,23.284,82650
CMG,20180207,07-02-18,24.3264,25.1952,24.3264,24.6741,59260
CMG,20180206,06-02-18,24.3264,25.0649,22.1544,24.3266,626880
CMG,20180205,05-02-18,24.1526,24.7608,23.4576,23.4577,540210
CMG,20180202,02-02-18,25.369,25.8034,24.8477,24.8478,76660
CMG,20180201,01-02-18,26.4984,26.9328,25.8902,25.8904,129700
CMG,20180131,31-01-18,26.9328,28.1491,26.064,26.0642,512700
CMG,20180130,30-01-18,25.1952,26.6722,24.9346,26.6723,361420
CMG,20180129,29-01-18,25.2821,25.369,24.8477,24.9347,248510
CMG,20180126,26-01-18,24.8911,24.8911,24.5002,24.8913,560450
CMG,20180125,25-01-18,23.2838,23.2838,23.2838,23.284,104580
CMG,20180122,22-01-18,21.8069,22.5888,21.7634,21.7636,730890
