<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
VHM,20200422,22-04-20,65.2,68,65.2,65.4,1303590
VHM,20200421,21-04-20,68,68.3,66.1,68,1213590
VHM,20200420,20-04-20,69.4,69.4,68,68.5,512370
VHM,20200417,17-04-20,67.5,69.2,67.5,68.5,734070
VHM,20200416,16-04-20,67.6,68.2,66.8,67.5,670940
VHM,20200415,15-04-20,68.4,69,67.5,67.8,533620
VHM,20200414,14-04-20,68,68.9,66.5,68,642490
VHM,20200413,13-04-20,68,69.5,67.1,67.3,449470
VHM,20200410,10-04-20,68.5,69.2,67,67.1,513310
VHM,20200409,09-04-20,70,70.9,68.8,69,854470
VHM,20200408,08-04-20,64.5,70,64,70,950920
VHM,20200407,07-04-20,65.5,66,62.1,66,902670
VHM,20200406,06-04-20,60,61.7,58.6,61.7,534020
VHM,20200403,03-04-20,56.2,57.7,55.2,57.7,940470
VHM,20200401,01-04-20,53.2,57.3,53.2,54.8,553900
VHM,20200331,31-03-20,55.8,57.9,52,55,661010
VHM,20200330,30-03-20,55.8,57,55.8,55.8,929820
VHM,20200327,27-03-20,60,61.4,58.5,60,710770
VHM,20200326,26-03-20,59.1,63,57.2,61,2020820
VHM,20200325,25-03-20,57,59.1,54,59.1,1832290
VHM,20200324,24-03-20,55.4,58.4,55.3,55.3,2036510
VHM,20200323,23-03-20,60,62,59.4,59.4,198200
VHM,20200320,20-03-20,68.5,68.5,63.8,63.8,1351550
VHM,20200319,19-03-20,67.3,69.3,65,68.5,1482170
VHM,20200318,18-03-20,69.7,70.3,67.5,69.5,1707750
VHM,20200317,17-03-20,69.9,71.4,67.5,69.9,1095460
VHM,20200316,16-03-20,71,71.8,67.5,71.8,968810
VHM,20200313,13-03-20,67,72,67,72,1337180
VHM,20200312,12-03-20,75.5,75.5,71.2,72,1161120
VHM,20200311,11-03-20,76.5,76.8,71.2,76.5,932900
VHM,20200310,10-03-20,71,76.5,71,76.5,1050110
VHM,20200309,09-03-20,78.6,78.6,75.3,75.3,973190
VHM,20200306,06-03-20,80,80.9,79,80.9,339740
VHM,20200305,05-03-20,80.1,81.5,80.1,81,361110
VHM,20200304,04-03-20,79.1,80.5,78.9,80.5,901070
VHM,20200303,03-03-20,80.5,81.1,80.2,80.5,742520
VHM,20200302,02-03-20,79.1,80.6,79,80.5,447980
VHM,20200228,28-02-20,78.5,80.4,78.5,80.4,860760
VHM,20200227,27-02-20,79.9,81,79,80.8,1280250
VHM,20200226,26-02-20,83,83,80.3,80.9,651880
VHM,20200225,25-02-20,82.3,83.8,81,83.1,410300
VHM,20200224,24-02-20,83.3,85.1,83.3,84,619380
VHM,20200221,21-02-20,86.5,86.9,86,86.1,184170
VHM,20200220,20-02-20,86.5,87.3,85.9,86.9,271380
VHM,20200219,19-02-20,85.6,86.5,85.2,86,514110
VHM,20200218,18-02-20,86.6,87,85.6,86,323870
VHM,20200217,17-02-20,88,88,86.5,86.7,164600
VHM,20200214,14-02-20,85.5,88.6,85.5,87.6,481520
VHM,20200213,13-02-20,86.2,86.4,85.5,86,421050
VHM,20200212,12-02-20,86.7,86.7,86.2,86.5,395320
VHM,20200211,11-02-20,86,86.4,85.5,86.2,602090
VHM,20200210,10-02-20,86.1,86.7,85.8,86.2,373600
VHM,20200207,07-02-20,86.9,87.8,86.8,87,587610
VHM,20200206,06-02-20,86.8,87,86,86.8,484420
VHM,20200205,05-02-20,86.8,86.8,85.4,86,2410370
VHM,20200204,04-02-20,85.2,86.5,85,85.7,829790
VHM,20200203,03-02-20,85.2,85.9,82,85.2,755310
VHM,20200131,31-01-20,87.5,88.5,87.1,87.5,1284370
VHM,20200130,30-01-20,87.2,87.8,85.8,87.4,1414000
VHM,20200122,22-01-20,87.4,89.5,87.3,89.4,673070
VHM,20200121,21-01-20,86,87.5,86,87.5,653680
VHM,20200120,20-01-20,86,86.4,85.7,86,711830
VHM,20200117,17-01-20,86.2,87.9,86,86,552190
VHM,20200116,16-01-20,86.4,86.4,85.9,86.1,441860
VHM,20200115,15-01-20,86.5,86.5,85.8,86.3,420650
VHM,20200114,14-01-20,86.2,86.8,86.1,86.3,361600
VHM,20200113,13-01-20,84.8,86.8,84.5,86.3,882160
VHM,20200110,10-01-20,83.3,84.9,82.7,84.5,699780
VHM,20200109,09-01-20,83.4,83.7,82.9,83.3,421250
VHM,20200108,08-01-20,83,83.5,81,82.5,553690
VHM,20200107,07-01-20,83,84.8,83,83.8,590360
VHM,20200106,06-01-20,84.6,85,82.8,83.4,1025270
VHM,20200103,03-01-20,84.9,85.4,84.6,85.2,394470
VHM,20200102,02-01-20,84.5,85.5,84.5,84.9,238600
VHM,20191231,31-12-19,85.5,85.8,84.5,84.8,430660
VHM,20191230,30-12-19,84.4,86.6,84.4,85.5,896520
VHM,20191227,27-12-19,84.2,84.9,83.4,84.5,519680
VHM,20191226,26-12-19,83.7,84.9,83.2,84.2,426570
VHM,20191225,25-12-19,83.7,84.2,82.8,83.7,361820
VHM,20191224,24-12-19,83.3,83.8,81.8,83.7,838840
VHM,20191223,23-12-19,85,85,83.6,83.8,568720
VHM,20191220,20-12-19,84,85.6,84,84.2,1525190
VHM,20191219,19-12-19,83.8,85,82.5,83.9,1047500
VHM,20191218,18-12-19,84.7,85.5,83,83.9,1339840
VHM,20191217,17-12-19,86.1,87,84.6,85.5,859640
VHM,20191216,16-12-19,87.6,88.5,85.6,86.1,1437780
VHM,20191213,13-12-19,91.2,91.4,89.1,89.1,419210
VHM,20191212,12-12-19,91.1,91.2,90,91.2,884980
VHM,20191211,11-12-19,91.3,91.5,89.4,91.1,645660
VHM,20191210,10-12-19,92.3,92.3,88,91.5,1548550
VHM,20191209,09-12-19,92,93,91.5,92,625460
VHM,20191206,06-12-19,92,92.2,91.6,92,2525080
VHM,20191205,05-12-19,92.8,93.5,91.8,92,3418400
VHM,20191204,04-12-19,91.7,92.3,90.6,91.8,2450900
VHM,20191203,03-12-19,91.2,92.3,89.5,91.8,3357960
VHM,20191202,02-12-19,92.5,93,91.4,91.9,4407620
VHM,20191129,29-11-19,91.6,92,90.8,91.9,2839310
VHM,20191128,28-11-19,93,93,91.5,91.6,2598710
VHM,20191127,27-11-19,93.5,93.5,92.8,93,2135110
VHM,20191126,26-11-19,94,94.1,93.3,93.3,3284780
VHM,20191125,25-11-19,92.5,93.9,91.7,93.2,2300820
VHM,20191122,22-11-19,93.5,95.9,90.3,93.5,3791930
VHM,20191121,21-11-19,96.2,96.4,95.1,95.3,3202820
VHM,20191120,20-11-19,97.2,97.2,95.2,96.2,2010940
VHM,20191119,19-11-19,96.5,98.4,95.9,96.5,2305620
VHM,20191118,18-11-19,96.5,96.8,95.7,96.3,1168830
VHM,20191115,15-11-19,97.2,97.4,96.2,96.3,1018490
VHM,20191114,14-11-19,98.3,99.3,96.2,96.4,1480640
VHM,20191113,13-11-19,97.8,98.2,96.6,97.1,1305680
VHM,20191112,12-11-19,99,99.4,97.5,97.8,1380830
VHM,20191111,11-11-19,98.4,99.7,97.9,98.7,765160
VHM,20191108,08-11-19,99.5,99.9,98,98.5,1233370
VHM,20191107,07-11-19,99.1,102.3,99.1,99.5,2081650
VHM,20191106,06-11-19,97.4,101,97.4,99.4,1675310
VHM,20191105,05-11-19,96,98.5,95.8,97.9,1836960
VHM,20191104,04-11-19,95.7,97.5,94.7,96,1124510
VHM,20191101,01-11-19,89.4,95.2,89.2,95.2,2594030
VHM,20191031,31-10-19,88.8,89.8,88.7,89,1008560
VHM,20191030,30-10-19,88,89.1,87.7,88.8,737640
VHM,20191029,29-10-19,87,88,86.9,87.6,1014970
VHM,20191028,28-10-19,86,86.7,85.5,86,728480
VHM,20191025,25-10-19,86,86.2,85.4,86,681140
VHM,20191024,24-10-19,85.7,86.1,85.2,86.1,543560
VHM,20191023,23-10-19,86,86,85,85.9,535550
VHM,20191022,22-10-19,86.5,86.8,85.9,86,350630
VHM,20191021,21-10-19,87,87,85.6,86.5,484630
VHM,20191018,18-10-19,86.5,87.3,86.2,87,327740
VHM,20191017,17-10-19,86.3,88,85.3,86.5,688380
VHM,20191016,16-10-19,86.4,86.4,85.3,86.4,630230
VHM,20191015,15-10-19,87.5,87.8,85.8,86.4,643130
VHM,20191014,14-10-19,88.4,88.4,87.5,87.9,285650
VHM,20191011,11-10-19,88.6,88.6,88,88.4,450000
VHM,20191010,10-10-19,88.6,88.6,87.6,88.5,359140
VHM,20191009,09-10-19,88.6,88.8,88.1,88.5,293220
VHM,20191008,08-10-19,89,89,88.1,88.6,315010
VHM,20191007,07-10-19,89.5,89,88.2,89,481420
VHM,20191004,04-10-19,89.5,89.5,88.4,89.2,428530
VHM,20191003,03-10-19,88.5,89.3,88,89.3,327140
VHM,20191002,02-10-19,89.2,89.3,88.5,89,462090
VHM,20191001,01-10-19,89.5,89.5,88.7,89.2,231930
VHM,20190930,30-09-19,90,90,88.9,89.3,491120
VHM,20190927,27-09-19,88.7,89.8,88.3,89.3,384950
VHM,20190926,26-09-19,89.5,89.9,87.5,88.7,533860
VHM,20190925,25-09-19,89.1,89.9,88.7,89.5,227170
VHM,20190924,24-09-19,89.5,89.8,88.9,89.5,286560
VHM,20190923,23-09-19,89.6,89.9,88.8,89.5,267270
VHM,20190920,20-09-19,90.4,90.4,89.5,89.6,1032290
VHM,20190919,19-09-19,90.4,90.4,88.3,90.3,506070
VHM,20190918,18-09-19,87.1,90.5,89.9,90.4,437190
VHM,20190917,17-09-19,87.1,90.5,88.4,90.3,921810
VHM,20190916,16-09-19,87.1,88.9,87.1,88.5,563460
VHM,20190913,13-09-19,87.4,88,86.1,88,361780
VHM,20190912,12-09-19,87.4,87.4,86.3,86.9,289830
VHM,20190911,11-09-19,87.5,87.8,85.8,86.3,549770
VHM,20190910,10-09-19,88.4,88.5,87.3,88,317650
