<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
VCB,20160905,05-09-16,36.5138,36.5138,34.6359,35.123,4191860
VCB,20160901,01-09-16,37.9048,38.2525,35.8183,36.5141,3427730
VCB,20160831,31-08-16,38.6003,39.2958,37.2093,37.5573,2593570
VCB,20160830,30-08-16,39.2958,39.6435,38.2525,38.6006,1550890
VCB,20160829,29-08-16,41.3823,42.0778,39.9913,39.9916,1324350
VCB,20160826,26-08-16,38.948,39.9913,38.6003,39.9916,1821780
VCB,20160825,25-08-16,37.557,37.9048,37.2093,37.5573,453540
VCB,20160824,24-08-16,37.2093,37.9048,37.2093,37.5573,275230
VCB,20160823,23-08-16,36.8615,37.557,36.5138,36.8618,559330
VCB,20160822,22-08-16,38.2525,38.2525,37.2093,37.2096,466900
VCB,20160819,19-08-16,36.8615,37.9048,36.8615,37.2096,250570
VCB,20160818,18-08-16,37.557,38.2525,36.8615,36.8618,577820
VCB,20160817,17-08-16,37.557,37.557,36.166,36.8618,635370
VCB,20160816,16-08-16,37.557,38.2525,37.2093,37.5573,513280
VCB,20160815,15-08-16,37.2093,38.2525,37.2093,37.9051,165580
VCB,20160812,12-08-16,38.6003,38.948,37.2093,37.9051,331030
VCB,20160811,11-08-16,37.2093,38.948,37.2093,38.9483,737430
VCB,20160810,10-08-16,36.5138,37.557,36.5138,37.2096,310040
VCB,20160809,09-08-16,36.166,36.8615,35.8183,36.8618,181050
VCB,20160808,08-08-16,35.8183,36.166,35.1228,36.1663,348760
VCB,20160805,05-08-16,36.5138,36.5138,35.1228,35.4708,327970
VCB,20160804,04-08-16,35.4705,37.557,35.1228,36.1663,537660
VCB,20160803,03-08-16,35.4705,35.8183,34.4273,35.123,324230
VCB,20160802,02-08-16,36.8615,36.8615,35.4705,35.8186,634560
VCB,20160801,01-08-16,37.557,37.557,36.8615,36.8618,365040
VCB,20160729,29-07-16,37.9048,38.2525,37.2093,37.5573,225610
VCB,20160728,28-07-16,37.9048,38.2525,37.2093,38.2528,91390
VCB,20160727,27-07-16,37.9048,37.9048,36.5138,37.9051,402240
VCB,20160726,26-07-16,36.8615,37.557,36.166,36.8618,268770
VCB,20160725,25-07-16,36.166,37.2093,35.8183,36.8618,318900
