<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
MSN,20170223,23-02-17,42.3,42.3,41.85,42.2,297310
MSN,20170222,22-02-17,42.5,42.7,42.15,42.2,415910
MSN,20170221,21-02-17,42.2,42.6,41.8,42.55,582730
MSN,20170220,20-02-17,41.75,43,41.4,42,314390
MSN,20170217,17-02-17,42,42.3,41.6,41.7,386090
MSN,20170216,16-02-17,42,43,41.7,41.95,542230
MSN,20170215,15-02-17,41.4,42.2,41.3,41.95,329800
MSN,20170214,14-02-17,41.5,41.6,41.3,41.5,375630
MSN,20170213,13-02-17,42,42,41.45,41.8,369880
MSN,20170210,10-02-17,42.5,42.5,41.7,42,342780
MSN,20170209,09-02-17,42.5,42.6,42.35,42.5,398110
MSN,20170208,08-02-17,42.6,42.6,42.45,42.6,174120
MSN,20170207,07-02-17,42.6,42.6,42.3,42.6,435880
MSN,20170206,06-02-17,42.7,42.7,42,42.6,266640
MSN,20170203,03-02-17,42.2,43.2,42.2,42.3,354630
MSN,20170202,02-02-17,41.25,42.35,41.25,42.2,212950
MSN,20170125,25-01-17,41.25,41.25,40.7,41.25,168360
MSN,20170124,24-01-17,40.45,41.4,40.45,41.2,149750
MSN,20170123,23-01-17,41.6,41.8,41,41.2,221960
MSN,20170120,20-01-17,41.5292,41.5292,40.9959,41.002,448800
MSN,20170119,19-01-17,41.7354,41.7354,41.3354,41.3354,304740
MSN,20170118,18-01-17,41.8625,41.8625,41.5958,41.6687,95680
MSN,20170117,17-01-17,41.8021,42.0021,41.5354,41.8021,147390
MSN,20170116,16-01-17,42.0021,42.0021,41.6688,41.8021,124960
MSN,20170113,13-01-17,41.8021,41.9354,41.6688,41.8021,226450
MSN,20170112,12-01-17,42.3355,42.3355,41.8021,41.8021,164770
MSN,20170111,11-01-17,42.4624,42.6624,42.1958,42.2021,252010
MSN,20170110,10-01-17,42.2688,43.3355,42.2688,42.4688,488910
MSN,20170109,09-01-17,42.1291,42.1291,41.6625,41.7354,233660
MSN,20170106,06-01-17,41.7958,42.1291,41.5958,42.1354,337680
MSN,20170105,05-01-17,42.6688,42.6688,41.9354,42.0688,228380
MSN,20170104,04-01-17,41.9958,42.3291,41.7958,42.3354,446480
MSN,20170103,03-01-17,41.5944,41.976,41.2128,41.6008,397760
MSN,20161230,30-12-16,40.704,41.34,40.704,41.2192,334620
MSN,20161229,29-12-16,40.8312,40.8948,40.5768,40.6467,122990
MSN,20161228,28-12-16,41.5308,41.658,40.5132,40.5195,325410
MSN,20161227,27-12-16,41.5308,41.658,41.0856,41.3464,125060
MSN,20161226,26-12-16,41.5308,42.4848,41.5308,41.5372,148910
MSN,20161223,23-12-16,41.658,41.658,41.2128,41.5372,225270
MSN,20161222,22-12-16,40.4496,41.658,40.386,41.5372,613300
MSN,20161221,21-12-16,39.432,40.068,39.3684,39.6925,196240
MSN,20161220,20-12-16,40.1952,40.1952,39.3048,39.3745,344130
MSN,20161219,19-12-16,40.704,41.2764,40.1952,40.3923,157330
MSN,20161216,16-12-16,39.4956,41.34,39.2412,41.3464,981560
MSN,20161215,15-12-16,39.6228,39.8136,39.0504,39.5017,258880
MSN,20161214,14-12-16,39.114,39.8772,38.9232,39.5017,235790
MSN,20161213,13-12-16,40.068,40.068,38.796,38.802,388540
MSN,20161212,12-12-16,40.4496,40.5768,39.75,40.0742,301240
MSN,20161209,09-12-16,40.5768,40.6404,40.1316,40.265,265730
MSN,20161208,08-12-16,40.386,40.386,40.068,40.265,211860
MSN,20161207,07-12-16,40.3224,40.5768,39.8136,40.0742,300040
MSN,20161206,06-12-16,40.1952,40.704,40.1952,40.265,348710
MSN,20161205,05-12-16,40.068,40.6404,40.068,40.2014,305290
MSN,20161202,02-12-16,41.2128,41.2128,39.9408,39.947,387740
MSN,20161201,01-12-16,40.7676,42.4848,40.7676,40.9647,321970
MSN,20161130,30-11-16,41.34,41.34,40.068,40.7739,499010
MSN,20161129,29-11-16,40.704,41.34,39.6864,39.8834,579550
MSN,20161128,28-11-16,42.93,43.0572,40.704,40.7103,719490
MSN,20161125,25-11-16,44.3292,44.3928,43.248,43.2547,339930
MSN,20161124,24-11-16,45.3468,45.7284,43.4388,43.8908,637070
MSN,20161123,23-11-16,40.704,43.4388,40.704,43.3819,2158820
MSN,20161122,22-11-16,40.3224,40.8312,40.3224,40.6467,135790
MSN,20161121,21-11-16,40.386,40.386,40.068,40.3286,73370
MSN,20161118,18-11-16,40.2588,40.7676,40.1316,40.3286,241650
MSN,20161117,17-11-16,40.2588,40.386,40.068,40.265,222230
MSN,20161116,16-11-16,40.068,40.5132,40.068,40.1378,79620
MSN,20161115,15-11-16,40.068,40.068,39.6228,40.0742,57220
MSN,20161114,14-11-16,40.9584,40.9584,39.114,39.4381,651510
MSN,20161111,11-11-16,41.34,41.658,41.022,41.0284,53700
MSN,20161110,10-11-16,41.34,41.34,40.8948,41.3464,586310
MSN,20161109,09-11-16,40.8948,41.34,40.386,41.3464,297160
MSN,20161108,08-11-16,41.022,41.34,41.022,41.3464,198930
MSN,20161107,07-11-16,41.4036,41.4036,40.8948,41.3464,83350
MSN,20161104,04-11-16,41.5308,41.5308,40.8312,41.41,98460
MSN,20161103,03-11-16,41.658,41.658,40.6404,41.5372,407090
MSN,20161102,02-11-16,41.5944,41.8488,41.022,41.6644,74520
MSN,20161101,01-11-16,41.976,42.1032,41.34,41.6644,119220
MSN,20161031,31-10-16,41.7852,43.4388,41.5308,41.7917,464860
MSN,20161028,28-10-16,41.022,41.7852,40.704,41.7917,211670
MSN,20161027,27-10-16,41.022,41.7852,40.7676,41.6644,263690
MSN,20161026,26-10-16,41.34,41.7852,40.8312,41.7917,179620
MSN,20161025,25-10-16,41.022,41.976,40.7676,41.9825,306970
MSN,20161024,24-10-16,41.4036,41.976,40.386,41.9825,137940
MSN,20161021,21-10-16,42.294,42.294,42.1032,42.1733,86950
MSN,20161020,20-10-16,43.1844,43.1844,41.976,42.3005,68250
MSN,20161019,19-10-16,42.294,42.4212,42.294,42.3005,125380
MSN,20161018,18-10-16,42.0396,42.8664,42.0396,42.4278,97290
MSN,20161017,17-10-16,43.3752,43.4388,42.4212,42.4278,251580
MSN,20161014,14-10-16,43.248,43.566,43.1844,43.3819,136680
MSN,20161013,13-10-16,43.248,43.3116,43.1844,43.2547,148990
MSN,20161012,12-10-16,43.3116,43.566,43.248,43.2547,48560
MSN,20161011,11-10-16,43.7568,43.7568,43.248,43.4455,177420
MSN,20161010,10-10-16,43.566,44.1384,43.3116,43.4455,147310
MSN,20161007,07-10-16,44.3928,44.3928,43.566,43.5727,167700
MSN,20161006,06-10-16,44.4564,44.52,44.0112,44.018,239540
MSN,20161005,05-10-16,44.3928,44.4564,43.884,44.4633,539130
MSN,20161004,04-10-16,43.884,44.4564,43.6296,44.4633,532110
MSN,20161003,03-10-16,44.52,44.52,43.248,44.5269,580480
MSN,20160930,30-09-16,43.248,44.7108,43.1844,44.7177,556860
MSN,20160929,29-09-16,43.566,43.6932,43.1208,43.3819,549110
MSN,20160928,28-09-16,44.52,44.7744,42.93,42.9366,494280
MSN,20160927,27-09-16,44.52,44.9016,44.2656,44.9086,554440
MSN,20160926,26-09-16,44.2656,45.0924,44.2656,45.0994,357780
MSN,20160923,23-09-16,44.7744,45.156,43.9476,45.163,634890
MSN,20160922,22-09-16,44.6472,45.2832,44.52,45.163,278580
MSN,20160921,21-09-16,44.52,44.9016,44.0112,44.8449,416900
MSN,20160920,20-09-16,43.3752,44.6472,43.0572,44.6541,1047600
MSN,20160919,19-09-16,42.612,43.5024,42.1668,43.2547,360510
MSN,20160916,16-09-16,40.7676,41.34,40.7676,41.3464,732710
MSN,20160915,15-09-16,41.976,42.0396,41.1492,41.3464,519390
MSN,20160914,14-09-16,43.248,43.248,42.4848,42.4914,311860
MSN,20160913,13-09-16,43.3116,43.8204,42.9936,43.5727,309120
MSN,20160912,12-09-16,43.248,43.884,42.612,43.8908,903520
MSN,20160909,09-09-16,43.566,43.884,43.248,43.8908,518600
MSN,20160908,08-09-16,43.248,43.566,42.612,43.5727,1065400
MSN,20160907,07-09-16,43.248,43.566,42.93,43.2547,714730
MSN,20160906,06-09-16,43.248,43.566,42.612,43.2547,503190
MSN,20160905,05-09-16,43.248,43.884,42.294,42.6186,837650
MSN,20160901,01-09-16,43.248,43.566,42.294,42.6186,1706300
MSN,20160831,31-08-16,44.52,44.838,43.248,43.8908,1327980
MSN,20160830,30-08-16,42.294,45.156,41.976,44.5269,820870
MSN,20160829,29-08-16,41.022,42.612,40.704,42.6186,1259500
MSN,20160826,26-08-16,39.75,41.022,39.75,40.0742,930460
MSN,20160825,25-08-16,39.75,39.75,38.478,39.1201,756480
MSN,20160824,24-08-16,40.068,40.386,39.114,39.1201,503710
MSN,20160823,23-08-16,40.704,41.34,39.75,40.0742,652530
MSN,20160822,22-08-16,42.93,42.93,41.34,41.3464,241270
MSN,20160819,19-08-16,42.612,42.93,42.294,42.9366,2293940
MSN,20160818,18-08-16,38.16,40.386,37.524,40.3923,1965290
MSN,20160817,17-08-16,38.16,38.16,37.206,37.8479,1026130
MSN,20160816,16-08-16,38.16,38.16,37.524,37.8479,404310
MSN,20160815,15-08-16,38.16,38.16,38.16,38.1659,111560
MSN,20160812,12-08-16,38.796,39.114,37.842,38.484,383460
MSN,20160811,11-08-16,38.478,39.432,38.16,38.802,582020
MSN,20160810,10-08-16,38.16,38.478,38.16,38.484,282540
MSN,20160809,09-08-16,37.524,38.478,37.524,38.484,298610
MSN,20160808,08-08-16,38.796,38.796,37.524,37.8479,312390
MSN,20160805,05-08-16,39.114,39.114,37.524,39.1201,835920
MSN,20160804,04-08-16,38.478,39.432,38.478,39.4381,71160
MSN,20160803,03-08-16,38.796,39.432,38.478,39.1201,236360
MSN,20160802,02-08-16,40.386,40.386,39.114,39.1201,548690
MSN,20160801,01-08-16,41.34,41.34,40.386,40.7103,242060
MSN,20160729,29-07-16,41.022,41.976,40.704,40.7103,726220
MSN,20160728,28-07-16,41.658,41.976,39.432,41.9825,1894990
MSN,20160727,27-07-16,41.976,42.294,41.022,41.9825,732260
MSN,20160726,26-07-16,42.93,42.93,41.34,42.3005,430300
MSN,20160725,25-07-16,42.294,42.93,41.976,42.6186,128060
MSN,20160722,22-07-16,42.93,42.93,41.976,42.6186,317090
MSN,20160721,21-07-16,42.93,43.248,42.612,42.9366,174010
MSN,20160720,20-07-16,42.93,43.248,42.612,42.6186,225340
MSN,20160719,19-07-16,43.884,43.884,42.93,42.9366,307780
MSN,20160718,18-07-16,43.248,43.884,43.248,43.8908,179580
MSN,20160715,15-07-16,43.248,43.248,42.612,42.9366,175870
MSN,20160714,14-07-16,42.612,44.202,42.294,42.9366,717250
MSN,20160713,13-07-16,42.294,42.93,42.294,42.6186,305500
MSN,20160712,12-07-16,42.612,42.612,41.976,42.6186,107970
MSN,20160711,11-07-16,41.976,42.612,41.976,42.6186,278680
MSN,20160708,08-07-16,42.294,42.612,41.976,42.6186,467620
MSN,20160707,07-07-16,42.612,42.93,42.294,42.6186,251200
MSN,20160706,06-07-16,42.612,42.612,42.294,42.6186,191960
MSN,20160705,05-07-16,42.93,43.248,42.612,42.9366,59940
MSN,20160704,04-07-16,42.612,42.93,42.294,42.6186,125960
MSN,20160701,01-07-16,42.294,44.52,42.294,42.6186,368120
MSN,20160630,30-06-16,42.612,42.612,42.294,42.3005,208640
MSN,20160629,29-06-16,42.612,42.93,41.976,42.6186,416170
